node_id,source_id,target_id,timestamp,amount,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11
202610,202610,1041998,2025-05-01 08:00:00,5737.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1041998,1041998,2475221,2025-05-02 09:07:00,3474.5,1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2475221,2475221,2039695,2025-05-03 10:14:00,2401.5,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2039695,2039695,1230237,2025-05-04 11:21:00,10957.2,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1230237,1230237,4022906,2025-05-05 12:28:00,3964.5,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
4022906,4022906,1127870,2025-05-06 13:35:00,4841.7,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1127870,1127870,3859228,2025-05-07 14:42:00,9210.4,0.0,7.0,0.13,0.075,0.576923,0.1,0.046,0.001,0.034,0.73913,0.0,0.423077
3859228,3859228,2493177,2025-05-08 15:49:00,11236.9,0.0,7.0,1.65,1.47,0.890909,2.1,3.382,0.638,3.34,0.987581,2.0,0.109091
2493177,2493177,1832910,2025-05-09 16:56:00,8850.1,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1832910,1832910,1708001,2025-05-10 17:03:00,1864.1,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1708001,1708001,994172,2025-05-11 18:10:00,7702.7,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
994172,994172,1062223,2025-05-12 19:17:00,6537.3,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1062223,1062223,125839,2025-05-13 08:24:00,6327.9,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
125839,125839,1466903,2025-05-14 09:31:00,9709.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1466903,1466903,199963,2025-05-15 10:38:00,3647.7,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
199963,199963,3350975,2025-05-16 11:45:00,7971.6,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3350975,3350975,2389932,2025-05-17 12:52:00,2717.9,1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2389932,2389932,906052,2025-05-18 13:59:00,10860.7,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
906052,906052,2440091,2025-05-19 14:06:00,4506.6,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2440091,2440091,1047520,2025-05-20 15:13:00,4452.8,1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1047520,1047520,1730541,2025-05-21 16:20:00,11942.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1730541,1730541,369899,2025-05-22 17:27:00,7121.6,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
369899,369899,2236175,2025-05-23 18:34:00,748.1,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2236175,2236175,394593,2025-05-24 19:41:00,5971.2,1.0,6.0,0.05,0.05,1.0,0.1,0.048,0.002,0.048,1.0,0.0,-1.0
394593,394593,3230482,2025-05-25 08:48:00,8119.7,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3230482,3230482,3504602,2025-05-26 09:55:00,910.9,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3504602,3504602,690183,2025-05-27 10:02:00,7156.8,0.0,6.0,0.56,0.49,0.875,0.6,0.865,0.058,0.848,0.980347,2.0,0.125
690183,690183,2759511,2025-05-28 11:09:00,9808.4,0.0,7.0,0.235,0.175,0.744681,-1.0,0.256,-1.0,0.244,0.953125,0.0,0.255319
2759511,2759511,217197,2025-05-01 12:16:00,10323.9,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
217197,217197,2914649,2025-05-02 13:23:00,11764.0,0.0,2.0,0.485,0.42,0.865979,0.6,0.969,0.147,0.947,0.977296,1.0,0.134021
2914649,2914649,932217,2025-05-03 14:30:00,8338.3,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
932217,932217,2318988,2025-05-04 15:37:00,5341.8,1.0,4.0,0.485,0.355,0.731959,0.2,0.24,0.002,0.207,0.8625,0.0,0.268041
2318988,2318988,3772086,2025-05-05 16:44:00,396.4,0.0,3.0,0.22,0.185,0.840909,0.3,0.651,0.019,0.643,0.987711,1.0,0.159091
3772086,3772086,214184,2025-05-06 17:51:00,860.9,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
214184,214184,1785098,2025-05-07 18:58:00,625.4,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1785098,1785098,2636658,2025-05-08 19:05:00,5009.1,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2636658,2636658,104233,2025-05-09 08:12:00,11783.0,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
104233,104233,2346887,2025-05-10 09:19:00,1812.4,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2346887,2346887,1400250,2025-05-11 10:26:00,7634.1,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1400250,1400250,95493,2025-05-12 11:33:00,9079.1,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
95493,95493,1209867,2025-05-13 12:40:00,5480.1,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1209867,1209867,3679537,2025-05-14 13:47:00,665.8,0.0,4.0,0.645,0.63,0.976744,0.5,0.609,0.023,0.605,0.993432,2.0,0.023256
3679537,3679537,1085166,2025-05-15 14:54:00,6446.7,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1085166,1085166,2305155,2025-05-16 15:01:00,7275.9,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2305155,2305155,839519,2025-05-17 16:08:00,9237.1,0.0,1.0,0.07,0.06,0.857143,-1.0,0.394,-1.0,0.392,0.994924,0.0,0.142857
839519,839519,3396278,2025-05-18 17:15:00,10385.8,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3396278,3396278,397952,2025-05-19 18:22:00,2396.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
397952,397952,1875187,2025-05-20 19:29:00,8591.7,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1875187,1875187,3041728,2025-05-21 08:36:00,2363.1,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3041728,3041728,1777445,2025-05-22 09:43:00,10566.7,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1777445,1777445,599506,2025-05-23 10:50:00,721.5,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
599506,599506,2509064,2025-05-24 11:57:00,10349.1,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
